ID,ESPAÑOL,INGLÉS
fase3_Off_1;Qué extraño ciclo primaveral. La naturaleza crece en silencio;What a strange spring cycle. Nature grows in silence
fase3_Off_2;Las plantas nos recuerdan que todo florece cuando la tormenta fallece y que el  mal tiempo se lleva aquello que siempre quisimos;Plants remind us that, when the storm subsides, everything blooms, and the bad weather takes away what we always wanted
fase3_Character_1;¿Cuántos días han pasado? ¿Ya han pasado varias semanas?;How long has it been? Days? Weeks? 
fase3_Off_3;Marzo y abril suspiran. Amordazados, apenados, y más salvajes que nunca.  Mayo, dicen, vendrá con luz;March and April let out a sigh. Muzzled, saddened, and wilder than ever. They say that May will bring light
fase3_Character_2;Este espacio me da tristeza… ¿Qué pasó? ¿Por qué se ve mi pasado a través  de estas ventanas?;This places makes me sad… What happened? Why can I see my past through these windows?
fase3_Off_4;Así es como todo quedó, querida… Calladas nuestras voces. Angustiadas nuestras  miradas. Cansadas nuestras almas;This is the result of everything that happened, my dear… Our voices, silent. Our gazes, distressed. Our souls, exhausted
fase3_Character_3;¿Es que nos hemos quedado solos? ¿Cuántos se han marchado…?;Are we now all alone? How many have gone…?
fase3_Off_5;Hay pétalos perdidos que solo quedarán en nuestros corazones. Quiero  contarte muchas cosas… Pero ya es tarde. Ahora estamos obligados a volver a  casa. Es la hora;There are lost petals that will only remain in our hearts. I want to tell you so many things… But it’s late. Me must go back home now. It’s time
fase3_Character_4;¿Y qué hora es? El tiempo pasa lento entre estas paredes… la tristeza me  invade…;But what time is it? Time goes by so slowly within these walls… Sadness washes over me…
fase3_Off_6;Sumérgete en ella. Sortear las penas no te llevará más rápido al camino de  la esperanza…;Sink into it. Avoiding the suffering will not help you get back on the road to hope any quicker…
fase3_Character_5;¿Qué quieres decir? Mirando a través de estos cristales la vida es más bonita  ¿No crees?;What do you mean? Looking through these glasses, life is much more beautiful, don’t you think?
fase3_Off_7;Deja fluir la tristeza dentro de ti. Respírala, aunque sea densa y no puedas  escuchar más allá…;Let sadness flow through you. Breath it in, even if it feels dense and you can’t hear any further…
fase3_Character_6;Es un sueño, ¿verdad? ¿Cuándo podré reunirme con los míos?;This is a dream, isn’t it? When can I get back to my people?
fase3_Off_8;Lo que es importante para ti aparecerá en tu vida cuando estés en  disposición de albergarlo en tu corazón…;What’s important to you will appear in your life when you are ready to find a place for it in your heart…
