ID,ESPAÑOL,INGLÉS
fase4_Character_1;Después de recorrer largos caminos, parece que el mundo se ha vuelto loco;After my long journey, it appears the world has gone crazy
fase4_Off_1;Y de colores y alegría maquillaste tus penas. Tu esperanza te llevó a la  acción inspirada. Ese es tu poder;You disguised your suffering with joy, and colours. Your hope led you to take inspired action. That is your power
fase4_Character_2;Pero, los espacios que antes cruzamos parecen culturas lejanas. Los espacios  imaginarios desaparecen;But the spaces we crossed before seem like distant cultures now. The imaginary spaces disappear
fase4_Off_2;La realidad es solo un reflejo de nuestros pensamientos, y nuestras  emociones… Así día tras día, cesando nuestras pasiones ocultas;Reality is just a reflection of our thoughts and emotions… Day after day, cancelling out our hidden passions
fase4_Character_3;Solo tengo ganas de pintar. De seguir pintando los caprichos que emocionan  nuestros corazones;All I want to do is paint. To keep painting the whims that bring emotion to our hearts
fase4_Off_3;Y así lo hiciste. Y lo seguirás haciendo. Transmitiendo con alegría tu talento;And that’s exactly what you did. And you will keep doing it. You will bring joy with your talent
fase4_Character_4;¡Ya recuerdo lo que hice!;I remember what I did!
fase4_Off_4;Dibujaste lo ilusorio de estos tiempos para nuestros sentidos;You drew what’s illusory about these times we live in for us to perceive
fase4_Character_5;Aunque los tiempos no parecen mejores, ni los instantes se quedan en el  pasado. Todo parece que ha ocurrido hoy. ¡Es todo tan vívido!;Although these times don’t appear any better, nor do the moments remain in the past. It looks like everything happened today. It’s so vivid!
fase4_Off_5;Es la magia del tiempo. Lo que toca, lo transforma;It’s the magic of time. It transforms everything it touches
fase4_Character_6;Necesito que mis obras reflejen todo lo que es posible;I need my works to reflect what is possible
fase4_Off_6;Ya sabes quién eres. Siéntete libre, abundante, radiante. Es tu naturaleza;Now you know who you are. Feel free, plentiful, radiant. It’s your nature
fase4_Character_7;¡Cuánta claridad! ¿Es este mi mundo? ¿He tomado el sendero adecuado?;So much brightness! Is this my world? Have I taken the right path?
fase4_Off_7;Cada uno ofrece lo que tiene. ¿Qué sientes si te digo que siempre estás en  el buen camino?;Each of us offers what we have. How would you feel if I told you that you are always on the right path? 
fase4_Character_8;Es como si yo hubiese cambiado…;It’s as if I had changed…
fase4_Off_8;Ese es el único camino sostenible: transformarse por dentro;That is the only sustainable path: inner transformation
fase4_Character_9;Los colores me sugieren que el secreto de la vida es disfrutar;The colours suggest that the secret of life is to enjoy
fase4_Off_9;Y por eso, lo mejor es dejar ir lo sombrío…;And for that reason it is best to come out of the shadows…
fase4_Character_10;Y así dar la bienvenida a la luz;And welcome the light
fase4_Off_10;Eso parece, sí;It would look that way, yes
fase4_Off_11;Muy bien, querida artista, tu misión es brillar;Very well, dear artist: your mission is to shine
fase4_Off_12;Has llegado al templo de tu corazón. Esta es tu vida;You have arrived at the temple of your heart. This is your life
fase4_Off_13;Bienvenida;Welcome
