ID,ESPAÑOL,INGLÉS
fase1_Off_1;Despierta;Wake up
fase1_Character_1;¿Qué está ocurriendo?;What’s going on
fase1_Off_2;Escondidos en nuestros propios cuerpos, solo se ven miradas. No sabes qué sentir. Todos alerta. Expectantes;As we hide in our bodies, only stares can be seen. You don’t know what to feel. Everyone on alert. Waiting
fase1_Off_3;La angustia te invade, mientras pesa la nostalgia de recordar el último beso y esos  atisbos de corazones. Latiendo por todos. Latentes por salir;Anxiety takes over, under the crushing weight of nostalgia, remembering that last kiss, those hinted hearts. Beating for everyone. Beating to come out
fase1_Character_2;¿Dónde estoy? ¿Me has abandonado?;Where am I? Did you abandon me?
fase1_Off_4;Es un período en el que empieza a relucir lo que somos. Sentimientos exacerbados,  frivolidad que enmascara tu alma, parálisis taciturna...;It’s a period where our true selves come to light. Exacerbated feelings, a frivolity that conceals your soul, a listless paralysis... 
fase1_Off_5;¿Acaso no recuerdas quién eres? ¿Y si tú tienes la llave?;Perhaps you do not remember who you are? What if you had the key?
fase1_Off_6;Comenzamos a ocultarnos, separarnos, y a almacenar en nuestros cuerpos todo lo que no pudimos regalar;We begin to hide, to drift apart, and to store in our bodies everything that we could not give away
fase1_Character_3;¿Dónde lleva este camino?;Where does this path lead to? 
fase1_Off_7;El miedo no se supera. Se integra. Abrázalo. Dibújalo;Fear cannot be overcome. It has to be assimilated. Embrace it. Draw it
fase1_Off_8;Cuántas noches sin dormir… esta ansiedad que nos consume…;So many sleepless nights… This all-consuming anxiety…
fase1_Off_9;Aunque tus sueños se derrumben …;Keep going. Even if your dreams fall apart… 
fase1_Off_10;Así es como el invierno se quedó sin flores… Pero tus ganas no se evaporaron. Sigue  habiendo luz;That’s how the flowers disappeared in the winter… But your desire did not fade away. There is still light
fase1_Character_4;Uufff. Esto es infinito… Y no me reconozco…;Pff. This seems endless… And I don’t recognise myself…
fase1_Off_11;Buscando en los ojos de otros, te perderás… Ya no hay miradas. La vida se rompe a  trozos y el viento corre con desdén;If you search in the eyes of others, you will get lost… There are no gazes left. Life falls to pieces and the wind blows disdainfully
fase1_Off_12;En este loco y nuevo mundo, tratamos de dar color a nuestros propios hogares,  compartimentados, apartados, separados. El miedo no cesa aun sintiendo el sabor de  una salida;In this new, crazy world, we try to brighten up our highly compartmentalised and disjointed homes. Even when we can almost see an exit, fear does not abate
fase1_Character_5;Qué frío este lugar… ;This place is so cold…
fase1_Character_6;¿Yo debo encontrar la llave? ¿Qué llave?;Do I have to find the key? What key? 
fase1_Character_7;Este lugar me suena... ¿Ya he estado aquí? Estos colores…;This place looks familiar... Have I been here before? These colours… 
fase1_Off_13;Es una locura insípida. Una etapa de sombras. ¿Le temes al silencio?;It is a dull kind of madness. A time of shadows. Are you afraid of the silence?
fase1_Off_14;Buscamos fuera, nos aferramos para esquivar el sufrimiento y empezamos a  encontrarnos a nosotros mismos;We search on the outside, we cling on in order to avoid suffering and begin to find ourselves
fase1_Off_15;Otros abandonan el mundo por la vida de muchos… El miedo te aísla… el frío no  cesa…;Others leave this world so that many can stay alive… Fear isolates you… The cold is endless…
fase1_Off_16;La llave del amor es la única capaz de abrir puertas de bendición…;The key of love is the only one that can open the doors of blessing…
